content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_687ca423b206c2bc,client_f623b01661d4bfe4,0.781037297900606,low,monitor,['model_decline_risk'],15.0,3.2142857142857144,0.13333333333333333,45,1
content_1ba57dcfaebfe32f,client_0fa64a184f18a4a0,0.7801461334362689,low,monitor,['model_decline_risk'],12.0,7.547619047619048,0.08333333333333333,43,0
content_17262dc7ecdb11bc,client_0fa64a184f18a4a0,0.7766930722469525,low,monitor,['model_decline_risk'],17.0,4.7666666666666675,0.11764705882352941,43,0
content_05c5cfb0047291ee,client_0fa64a184f18a4a0,0.7714708701271683,low,monitor,['model_decline_risk'],11.0,4.541666666666667,0.09090909090909091,43,1
content_8a36c7b94a8ecb0d,client_0fa64a184f18a4a0,0.7706530698392029,low,monitor,['model_decline_risk'],10.0,4.75,0.1,43,0
content_df930a7f80847c4b,client_73cda7b4e4f265ea,0.7673753878514167,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",18706.0,1.871146031477534,0.0004276702662247407,59,1
content_3d8d0f3a9e433e6f,client_def0955f7a377868,0.7669791830998721,low,monitor,['model_decline_risk'],7.0,12.833333333333334,0.14285714285714285,44,1
content_64f48acc8d8026a4,client_73cda7b4e4f265ea,0.7663930576501308,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",9089.0,2.118938022214598,0.0007701617339641324,59,0
content_c3d1a64d55c35205,client_73cda7b4e4f265ea,0.7649832277813574,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",16865.0,1.2306179278804839,0.0005929439667951378,59,1
content_d397987113cb84a0,client_73cda7b4e4f265ea,0.7642902909596156,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",11949.0,2.0296126966975527,0.0004184450581638631,59,1
content_93c796744a4cd7d2,client_73cda7b4e4f265ea,0.7637617867354652,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",13541.0,1.6389403687175141,0.0008861974743371981,59,1
